Водитель res,ИТР res,КамАЗ грузовой фургон res,Монтаж  лотков перфорированных act,Монтаж ВОК по металлоконструкциям act,Монтаж муфты оптической на опоре act,Монтаж шкафа связи напольного с оборудованием связи act,Монтажник связи res,Подвес ВОК по ВЛ до узла связи ЦПС act,технические ресурсы res
2,3,1,0,0,0,0,4,0,1
2,3,1,0,0,2,0,4,0,1
2,3,1,0,0,1,0,4,0,1
2,3,1,0,0,0,0,4,0,1
2,3,1,0,0,0,1,4,1,1
2,3,1,0,0,0,1,4,1,1
2,3,1,104,800,0,0,4,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
